%time,field.data
1603470049931690854,0.0
1603470049939534334,0.0
1603470049947866624,0.0
1603470049961821009,0.0
1603470049974670589,0.0
1603470049987756779,0.0
1603470050001209465,0.0
1603470050013693845,0.0
1603470050026539796,0.0
1603470050039702447,0.0
1603470050052794673,0.0
1603470050066244396,0.0
1603470050078708313,0.0
1603470050091478709,0.0
1603470050105002524,0.0
1603470050117611422,0.0
1603470050130834017,0.0
1603470050143876966,0.0
1603470050156555918,0.0
1603470050169646959,0.0
1603470050182772278,0.0
1603470050195912930,0.0
1603470050208574252,0.0
1603470050221586331,0.0
1603470050234933685,0.0
1603470050247764376,0.0
1603470050260658716,0.0
1603470050273750183,0.0
1603470050286690744,0.0
1603470050299803933,0.0
1603470050313440413,0.0
1603470050326632916,0.0
1603470050339741920,0.0
1603470050352629000,0.0
1603470050365571468,0.0
1603470050378709620,0.0
1603470050391791161,0.0
1603470050404704611,0.0
1603470050417637635,0.0
1603470050430493845,0.0
1603470050443810088,0.0
1603470050456800908,0.0
1603470050469584007,0.0
1603470050482648697,0.0
1603470050495978828,0.0
1603470050508597466,0.0
1603470050521563212,0.0
1603470050534825677,0.0
1603470050547965940,0.0
1603470050560542764,0.0
1603470050573778989,0.0
1603470050586777568,0.0
1603470050599815665,0.0
1603470050612966872,0.0
1603470050625822971,0.0
1603470050638551534,0.0
1603470050652115774,0.0
1603470050665835439,0.0
1603470050678565631,0.0
1603470050691579618,0.0
1603470050704488364,0.0
1603470050717614460,0.0
1603470050730644317,0.0
1603470050743641155,0.0
1603470050756871806,0.0
1603470050769545999,0.0
1603470050782621596,0.0
1603470050795649063,0.0
1603470050808595495,0.0
1603470050821627944,0.0
1603470050834517042,0.0
1603470050847563973,0.0
1603470050860529052,0.0
1603470050873655944,0.0
1603470050886590320,0.0
1603470050899701991,0.0
1603470050913069177,0.0
1603470050925854406,0.0
1603470050938729357,0.0
1603470050951772028,0.0
1603470050964496480,0.0
1603470050977758057,0.0
1603470050990578100,0.0
1603470051003761844,0.0
1603470051016600239,0.0
1603470051029714854,0.0
1603470051042714785,0.0
1603470051055522366,0.0
1603470051068835275,0.0
1603470051081814891,0.0
1603470051094698378,0.0
1603470051107779994,0.0
1603470051121429585,0.0
1603470051134727068,0.0
1603470051147727425,0.0
1603470051160624283,0.0
1603470051173636398,0.0
1603470051186764032,0.0
1603470051199789870,0.0
1603470051212504599,0.0
1603470051225605788,0.0
1603470051238658904,0.0
1603470051251798074,0.0
1603470051264919633,0.0
1603470051277769714,0.0
1603470051290509776,0.0
1603470051303632854,0.0
1603470051316756154,0.0
1603470051329571105,0.0
1603470051342894107,0.0
1603470051355791205,0.0
1603470051368540472,0.0
1603470051381574476,0.0
1603470051394490556,0.0
1603470051407778373,0.0
1603470051420592398,0.0
1603470051433828253,0.0
1603470051446453131,0.0
1603470051459735819,0.0
1603470051472840156,0.0
1603470051485809809,0.0
1603470051498485724,0.0
1603470051520367718,0.0
1603470051524796305,0.0
1603470051537590164,0.0
1603470051550499966,0.0
1603470051563677228,0.0
1603470051576716733,68.1818161011
1603470051590123752,0.0
1603470051602469115,68.1818161011
1603470051616229001,204.545455933
1603470051628919843,204.545455933
1603470051641811886,272.727264404
1603470051654775335,272.727264404
1603470051667871969,340.909088135
1603470051680696234,340.909088135
1603470051693772109,409.090911865
1603470051706746058,409.090911865
1603470051719545899,477.272735596
1603470051732844919,545.454528809
1603470051745496890,477.272735596
1603470051758503617,545.454528809
1603470051771493233,545.454528809
1603470051784804846,545.454528809
1603470051797792777,545.454528809
1603470051810911429,613.636352539
1603470051823542345,545.454528809
1603470051836545831,613.636352539
1603470051849507503,613.636352539
1603470051862509304,613.636352539
1603470051876010230,613.636352539
1603470051888739848,613.636352539
1603470051901610095,613.636352539
1603470051914693470,613.636352539
1603470051927750807,681.81817627
1603470051940512981,681.81817627
1603470051953497412,681.81817627
1603470051966659841,681.81817627
1603470051979626235,681.81817627
1603470051992581074,681.81817627
1603470052005572579,750.0
1603470052018943284,750.0
1603470052031678846,750.0
1603470052044809091,750.0
1603470052057898187,750.0
1603470052070866989,818.18182373
1603470052083496571,886.363647461
1603470052096506816,886.363647461
1603470052109580950,886.363647461
1603470052123156542,1022.72729492
1603470052135685403,954.545471191
1603470052149006164,1090.90905762
1603470052162028872,1022.72729492
1603470052174554771,1022.72729492
1603470052187658385,1159.09094238
1603470052212558091,1090.90905762
1603470052214083613,1159.09094238
1603470052226628326,1227.27270508
1603470052239779440,1295.45458984
1603470052252812815,1227.27270508
1603470052265795931,1227.27270508
1603470052278505754,1227.27270508
1603470052291709442,1295.45458984
1603470052304756057,1227.27270508
1603470052317890227,1295.45458984
1603470052330798344,1363.63635254
1603470052343454537,1363.63635254
1603470052357453199,1431.8182373
1603470052373227640,1363.63635254
1603470052386141164,1431.8182373
1603470052398609156,1431.8182373
1603470052412044879,1500.0
1603470052424624295,1431.8182373
1603470052437776909,1500.0
1603470052450592897,1500.0
1603470052463510792,1500.0
1603470052476620518,1568.1817627
1603470052489737577,1568.1817627
1603470052502493066,1500.0
1603470052515476145,1568.1817627
1603470052528573482,1636.36364746
1603470052541706985,1636.36364746
1603470052554641509,1568.1817627
1603470052567664051,1568.1817627
1603470052580573001,1636.36364746
1603470052593522617,1568.1817627
1603470052606704991,1636.36364746
1603470052619821605,1636.36364746
1603470052633239958,1636.36364746
1603470052645794226,1636.36364746
1603470052659394855,1636.36364746
1603470052672761801,1772.72729492
1603470052685820879,1704.54541016
1603470052698658904,1704.54541016
1603470052711724093,1772.72729492
1603470052725044724,1772.72729492
1603470052737648492,1772.72729492
1603470052750764366,1909.09094238
1603470052763685427,1909.09094238
1603470052776764172,1977.27270508
1603470052789762029,1977.27270508
1603470052802553925,2045.45458984
1603470052815536226,2045.45458984
1603470052828887449,2181.81811523
1603470052842030453,2113.63647461
1603470052854479778,2045.45458984
1603470052867795946,2250.0
1603470052880712359,2250.0
1603470052893616902,2250.0
1603470052906832923,2318.18188477
1603470052919561542,2181.81811523
1603470052932661342,2386.36352539
1603470052945509033,2386.36352539
1603470052958718332,2318.18188477
1603470052971672004,2386.36352539
1603470052984710897,2454.54541016
1603470052997684995,2386.36352539
1603470053010726999,2386.36352539
1603470053024024723,2454.54541016
1603470053036583677,2318.18188477
1603470053049881068,2454.54541016
1603470053062783629,2386.36352539
1603470053075693579,2454.54541016
1603470053088609103,2454.54541016
1603470053101754977,2454.54541016
